# tag, sector, industry, tag_id
VOD.L, Communication Services, Telecom Services, 1
ADS.DE, Financial Services, Credit Services, 398
ADSK, Technology, Software - Application, 399
ADT, Industrials, Security & Protection Services, 400
ADTN, Technology, Communication Equipment, 402
ADTX, Healthcare, Biotechnology, 403
ADUS, Healthcare, Medical Care Facilities, 404
ADV.L, Communication Services, Advertising Agencies, 405
ADV, Communication Services, Advertising Agencies, 406
ADV.DE, Communication Services, Advertising Agencies, 407
ADVM, Healthcare, Biotechnology, 409
ADXN, Healthcare, Biotechnology, 411
ADXS, Healthcare, Biotechnology, 412
ADYEY, Technology, Software - Infrastructure, 414
AE, Energy, Oil & Gas Integrated, 416
AEAC, Financial Services, Shell Companies, 417
AEE, Utilities, Utilities - Regulated Electric, 419
AEG.L, Financial Services, Insurance - Diversified, 420
AEHL, Industrials, Building Products & Equipment, 422
AEHR, Technology, Semiconductor Equipment & Materials, 423
AEI, Real Estate, Real Estate - Development, 424
AEIS, Industrials, Electrical Equipment & Parts, 425
AEL, Financial Services, Insurance - Life, 426
AEM, Basic Materials, Gold, 427
AEMC.L, Communication Services, Entertainment, 428
AEMD, Healthcare, Medical Devices, 429
AENZ, Industrials, Engineering & Construction, 432
AEO, Consumer Cyclical, Apparel Retail, 433
AEP, Utilities, Utilities - Regulated Electric, 434
AEP.L, Utilities, Utilities - Regulated Electric, 435
AER, Industrials, Airports & Air Services, 436
AERI, Healthcare, Drug Manufacturers - Specialty & Generic, 437
AES, Utilities, Utilities - Diversified, 438
AESE, Communication Services, Entertainment, 439
AEVA, Consumer Cyclical, Auto Parts, 441
AEXAY, Technology, Information Technology Services, 444
AEY, Technology, Electronics & Computer Distribution, 446
AEYE, Technology, Software - Application, 447
AEZS, Healthcare, Biotechnology, 448
AFAP, Industrials, Security & Protection Services, 450
AFAQ, Financial Services, Shell Companies, 451
AFBI, Financial Services, Banks - Regional, 452
AFCG, Real Estate, REIT - Specialty, 454
AFG, Financial Services, Insurance - Property & Casualty, 455
AFI, Industrials, Building Products & Equipment, 457
AFIB, Healthcare, Medical Devices, 458
AFIN, Real Estate, REIT - Diversified, 459
AFL, Financial Services, Insurance - Life, 460
AFMD, Healthcare, Biotechnology, 462
AFRM, Technology, Information Technology Services, 463
AFTPY, Technology, Software - Infrastructure, 464
AFYA, Consumer Defensive, Education & Training Services, 467
AG, Basic Materials, Silver, 468
AGAC, Financial Services, Shell Companies, 470
AGBA, Financial Services, Shell Companies, 471
AGC, Financial Services, Shell Companies, 473
AGCB, Financial Services, Shell Companies, 474
AGCO, Industrials, Farm & Heavy Construction Machinery, 475
AGE, Healthcare, Biotechnology, 476
AGEN, Healthcare, Biotechnology, 479
AGESY, Financial Services, Insurance - Diversified, 481
AGFS, Consumer Defensive, Farm Products, 483
AGFY, Industrials, Specialty Business Services, 485
AGGG.L, Technology, Software - Application, 487
AGGR, Financial Services, Shell Companies, 488
AGIO, Healthcare, Biotechnology, 490
AGL, Healthcare, Medical Care Facilities, 492
AGLE, Healthcare, Biotechnology, 493
AGLXY, Utilities, Utilities - Renewable, 494
AGM, Financial Services, Credit Services, 495
AGM.L, Financial Services, Credit Services, 496
AGMH, Technology, Software - Application, 498
AGNC, Real Estate, REIT - Mortgage, 500
AGO, Financial Services, Insurance - Specialty, 501
AGOL, Healthcare, Drug Manufacturers - Specialty & Generic, 502
AGR, Utilities, Utilities - Regulated Electric, 503
AGR, Utilities, Utilities - Regulated Electric, 504
AGR.L, Utilities, Utilities - Regulated Electric, 505
AGRO, Consumer Defensive, Farm Products, 506
AGRO, Consumer Defensive, Farm Products, 507
AGRPY, Financial Services, Banks - Regional, 508
AGRX, Healthcare, Drug Manufacturers - Specialty & Generic, 510
AGS, Consumer Cyclical, Gambling, 511
AGS, Consumer Cyclical, Gambling, 512
AGTC, Healthcare, Biotechnology, 515
AGTI, Healthcare, Health Information Services, 516
AGX, Industrials, Engineering & Construction, 517
AGYS, Technology, Software - Application, 519
AHAC, Financial Services, Shell Companies, 520
AHC, Communication Services, Publishing, 521
AHCHY, Basic Materials, Building Materials, 522
AHCO, Healthcare, Medical Devices, 523
AHEXY, Industrials, Staffing & Employment Services, 524
AHKSY, Basic Materials, Chemicals, 525
AHPI, Healthcare, Medical Devices, 527
AHT, Real Estate, REIT - Hotel & Motel, 528
AHT.L, Real Estate, REIT - Hotel & Motel, 529
AI.PA, Technology, Information Technology Services, 530
AI, Technology, Information Technology Services, 531
AIAGY, Basic Materials, Copper, 532
AIG, Financial Services, Insurance - Diversified, 536
AIH, Healthcare, Medical Care Facilities, 546
AIHS, Financial Services, Credit Services, 547
AIKI, Healthcare, Biotechnology, 548
AIM, Healthcare, Biotechnology, 549
AIMC, Industrials, Specialty Industrial Machinery, 550
AIN, Consumer Cyclical, Textile Manufacturing, 551
AINC, Financial Services, Asset Management, 552
AINV, Financial Services, Asset Management, 553
AIQUY, Basic Materials, Chemicals, 554
AIR.PA, Industrials, Aerospace & Defense, 555
AIR.DE, Industrials, Aerospace & Defense, 556
AIR, Industrials, Aerospace & Defense, 557
AIR.L, Industrials, Aerospace & Defense, 558
AIRC, Real Estate, REIT - Residential, 559
AIRG, Technology, Communication Equipment, 561
AIRI, Industrials, Aerospace & Defense, 562
AIRT, Industrials, Integrated Freight & Logistics, 563
AIT, Industrials, Industrial Distribution, 564
AIV, Real Estate, REIT - Residential, 565
AIZ, Financial Services, Insurance - Specialty, 567
AJAX, Financial Services, Shell Companies, 568
AJG, Financial Services, Insurance Brokers, 570
AJG.L, Financial Services, Insurance Brokers, 571
AJINY, Consumer Defensive, Packaged Foods, 572
AJRD, Industrials, Aerospace & Defense, 575
AJX, Real Estate, REIT - Mortgage, 576
AKABY, Healthcare, Biotechnology, 578
AKAM, Technology, Software - Infrastructure, 579
AKBA, Healthcare, Biotechnology, 580
AKBTY, Financial Services, Banks - Regional, 581
AKIC, Financial Services, Shell Companies, 583
AKOM, Technology, Communication Equipment, 586
AKRO, Healthcare, Biotechnology, 587
AKTS, Technology, Communication Equipment, 588
AKTX, Healthcare, Biotechnology, 589
AKUS, Healthcare, Biotechnology, 590
AKYA, Healthcare, Medical Instruments & Supplies, 591
AKZOY, Basic Materials, Specialty Chemicals, 593
AL, Industrials, Rental & Leasing Services, 594
ALAC, Financial Services, Shell Companies, 595
ALB, Basic Materials, Specialty Chemicals, 597
ALBO, Healthcare, Biotechnology, 599
ALBY, Financial Services, Banks - Regional, 600
ALC, Healthcare, Medical Instruments & Supplies, 601
ALC, Healthcare, Medical Instruments & Supplies, 602
ALC.SW, Healthcare, Medical Instruments & Supplies, 603
ALCO, Consumer Defensive, Farm Products, 605
ALDX, Healthcare, Biotechnology, 607
ALE, Utilities, Utilities - Diversified, 608
ALEC, Healthcare, Biotechnology, 609
ALEX, Real Estate, REIT - Diversified, 611
ALF, Technology, Software - Infrastructure, 612
ALF.L, Technology, Software - Infrastructure, 613
ALFVY, Industrials, Specialty Industrial Machinery, 616
ALG, Industrials, Farm & Heavy Construction Machinery, 617
ALGM, Technology, Semiconductors, 620
ALGN, Healthcare, Medical Devices, 621
ALGS, Healthcare, Biotechnology, 622
ALGT, Industrials, Airlines, 623
ALHC, Healthcare, Healthcare Plans, 625
ALIM, Healthcare, Drug Manufacturers - Specialty & Generic, 628
ALIZY, Financial Services, Insurance - Diversified, 630
ALJJ, Industrials, Specialty Business Services, 631
ALK, Industrials, Airlines, 632
ALKS, Healthcare, Biotechnology, 634
ALKT, Technology, Software - Application, 635
ALL, Financial Services, Insurance - Property & Casualty, 636
ALLE, Industrials, Security & Protection Services, 637
ALLK, Healthcare, Biotechnology, 640
ALLN.SW, Communication Services, Broadcasting, 641
ALLO, Healthcare, Biotechnology, 642
ALLT, Technology, Software - Infrastructure, 643
ALLY, Financial Services, Credit Services, 644
ALMC, Financial Services, Asset Management, 647
ALNA, Healthcare, Biotechnology, 649
ALNPY, Industrials, Airlines, 650
ALNY, Healthcare, Biotechnology, 651
ALOT, Technology, Computer Hardware, 653
ALPMY, Healthcare, Drug Manufacturers - General, 655
ALPN, Healthcare, Biotechnology, 656
ALPP, Technology, Electronic Components, 657
ALRM, Technology, Software - Application, 660
ALRN, Healthcare, Biotechnology, 661
ALRS, Financial Services, Banks - Regional, 662
ALSMY, Industrials, Specialty Industrial Machinery, 665
ALSN, Consumer Cyclical, Auto Parts, 666
ALSN.SW, Consumer Cyclical, Auto Parts, 667
ALT, Healthcare, Biotechnology, 668
ALT.L, Healthcare, Biotechnology, 669
ALTA, Financial Services, Banks - Regional, 670
ALTG, Industrials, Rental & Leasing Services, 671
ALTM, Energy, Oil & Gas Midstream, 672
ALTO, Basic Materials, Specialty Chemicals, 674
ALTR, Technology, Software - Infrastructure, 675
ALTU, Financial Services, Shell Companies, 676
ALUS, Financial Services, Shell Companies, 679
ALV, Consumer Cyclical, Auto Parts, 680
ALV.DE, Consumer Cyclical, Auto Parts, 681
ALVR, Healthcare, Biotechnology, 682
ALX, Real Estate, REIT - Retail, 685
ALXN, Healthcare, Biotechnology, 686
ALXO, Healthcare, Biotechnology, 687
AM, Energy, Oil & Gas Midstream, 689
AM.PA, Energy, Oil & Gas Midstream, 690
AMADY, Technology, Information Technology Services, 692
AMAL, Financial Services, Banks - Regional, 694
AMAL.L, Financial Services, Banks - Regional, 695
AMAO, Financial Services, Shell Companies, 696
AMAT, Technology, Semiconductor Equipment & Materials, 698
AMBA, Technology, Semiconductor Equipment & Materials, 699
AMBBY, Healthcare, Medical Instruments & Supplies, 700
AMBC, Financial Services, Insurance - Specialty, 701
AMBK, Financial Services, Banks - Regional, 702
AMBO, Consumer Defensive, Education & Training Services, 703
AMBZ, Financial Services, Banks - Regional, 704
AMC, Communication Services, Entertainment, 705
AMC.L, Communication Services, Entertainment, 706
AMCR, Consumer Cyclical, Packaging & Containers, 707
AMCT, Industrials, Consulting Services, 708
AMCX, Communication Services, Broadcasting, 709
AMD.DE, Technology, Semiconductors, 710
AMD, Technology, Semiconductors, 711
AME, Industrials, Specialty Industrial Machinery, 714
AMED, Healthcare, Medical Care Facilities, 715
AMEH, Healthcare, Medical Care Facilities, 716
AMEN, Energy, Oil & Gas E&P, 718
AMFC, Financial Services, Banks - Regional, 719
AMG, Financial Services, Asset Management, 720
AMG.AS, Financial Services, Asset Management, 721
AMGN, Healthcare, Drug Manufacturers - General, 722
AMH, Real Estate, REIT - Residential, 724
AMHC, Financial Services, Shell Companies, 725
AMIGY, Financial Services, Insurance - Property & Casualty, 726
AMK, Financial Services, Asset Management, 727
AMKBY, Industrials, Marine Shipping, 728
AMKR, Technology, Semiconductors, 729
AMLM, Basic Materials, Other Industrial Metals & Mining, 731
AMN, Healthcare, Medical Care Facilities, 733
AMNB, Financial Services, Banks - Regional, 734
AMNF, Consumer Defensive, Packaged Foods, 735
AMOT, Technology, Electronic Components, 738
AMOV, Communication Services, Telecom Services, 739
AMP, Financial Services, Asset Management, 740
AMPE, Healthcare, Biotechnology, 741
AMPG, Technology, Communication Equipment, 742
AMPH, Healthcare, Drug Manufacturers - Specialty & Generic, 743
AMPI, Financial Services, Shell Companies, 744
AMPY, Energy, Oil & Gas E&P, 745
AMR, Basic Materials, Coking Coal, 746
AMRB, Financial Services, Banks - Regional, 747
AMRC, Industrials, Engineering & Construction, 748
AMRK, Financial Services, Capital Markets, 749
AMRN, Healthcare, Biotechnology, 750
AMRS, Basic Materials, Specialty Chemicals, 751
AMRX, Healthcare, Drug Manufacturers - Specialty & Generic, 752
AMS.L, Healthcare, Medical Care Facilities, 753
AMS, Healthcare, Medical Care Facilities, 754
AMS, Healthcare, Medical Care Facilities, 755
AMS.SW, Healthcare, Medical Care Facilities, 756
AMSC, Industrials, Specialty Industrial Machinery, 757
AMSF, Financial Services, Insurance - Specialty, 758
AMSIY, Basic Materials, Steel, 759
AMSSY, Technology, Semiconductors, 760
AMST, Technology, Software - Application, 761
AMSWA, Technology, Software - Application, 762
AMT, Real Estate, REIT - Specialty, 763
AMTB, Financial Services, Banks - Regional, 764
AMTBB, Financial Services, Banks - Regional, 765
AMTI, Healthcare, Biotechnology, 767
AMTX, Energy, Oil & Gas Refining & Marketing, 768
AMWD, Consumer Cyclical, Furnishings, Fixtures & Appliances, 770
AMWL, Healthcare, Health Information Services, 771
AMX, Communication Services, Telecom Services, 772
AMYT, Healthcare, Drug Manufacturers - Specialty & Generic, 773
AMYT.L, Healthcare, Drug Manufacturers - Specialty & Generic, 774
AMZN, Consumer Cyclical, Internet Retail, 779
AN, Consumer Cyclical, Auto & Truck Dealerships, 781
ANAB, Healthcare, Biotechnology, 783
ANAC, Financial Services, Shell Companies, 784
ANAT, Financial Services, Insurance - Diversified, 785
ANDA, Financial Services, Shell Companies, 787
ANDE, Consumer Defensive, Food Distribution, 788
ANDR, Technology, Consumer Electronics, 789
ANEB, Healthcare, Biotechnology, 790
ANET, Technology, Computer Hardware, 791
ANF, Consumer Cyclical, Apparel Retail, 792
ANGI, Communication Services, Internet Content & Information, 794
ANGN, Healthcare, Biotechnology, 795
ANGO, Healthcare, Medical Instruments & Supplies, 796
ANGPY, Basic Materials, Other Precious Metals & Mining, 797
ANIK, Healthcare, Biotechnology, 801
ANIOY, Basic Materials, Steel, 802
ANIP, Healthcare, Drug Manufacturers - Specialty & Generic, 803
ANIX, Healthcare, Diagnostics & Research, 804
ANNX, Healthcare, Biotechnology, 805
ANPC, Healthcare, Biotechnology, 806
ANPDY, Consumer Cyclical, Leisure, 807
ANSLY, Healthcare, Medical Instruments & Supplies, 808
ANSS, Technology, Software - Application, 809
ANTE, Communication Services, Telecom Services, 810
ANTM, Healthcare, Healthcare Plans, 811
ANVS, Healthcare, Biotechnology, 813
ANY, Technology, Software - Application, 816
ANZBY, Financial Services, Banks - Diversified, 817
ANZU, Financial Services, Shell Companies, 818
AON, Financial Services, Insurance Brokers, 823
AONE, Financial Services, Shell Companies, 824
AONNY, Consumer Cyclical, Department Stores, 825
AOS, Industrials, Specialty Industrial Machinery, 826
AOSL, Technology, Semiconductors, 827
AOUT, Consumer Cyclical, Leisure, 828
AOZOY, Financial Services, Banks - Regional, 830
AP, Industrials, Metal Fabrication, 831
APA, Energy, Oil & Gas E&P, 832
APAM.AS, Financial Services, Asset Management, 833
APAM, Financial Services, Asset Management, 834
APD, Basic Materials, Chemicals, 837
APDN, Healthcare, Diagnostics & Research, 838
APEI, Consumer Defensive, Education & Training Services, 839
APELY, Technology, Consumer Electronics, 840
APEN, Healthcare, Medical Devices, 841
APG, Industrials, Engineering & Construction, 844
APGB, Financial Services, Shell Companies, 845
APH.L, Technology, Electronic Components, 846
APH, Technology, Electronic Components, 847
API, Technology, Software - Application, 848
APLE, Real Estate, REIT - Hotel & Motel, 849
APLO, Financial Services, Banks - Regional, 850
APLS, Healthcare, Biotechnology, 851
APLS.L, Healthcare, Biotechnology, 852
APLT, Healthcare, Biotechnology, 853
APM, Healthcare, Biotechnology, 854
APNHY, Healthcare, Drug Manufacturers - Specialty & Generic, 855
APO, Financial Services, Asset Management, 856
APOG, Industrials, Building Products & Equipment, 857
APOP, Healthcare, Biotechnology, 858
APP.L, Technology, Software - Application, 859
APP, Technology, Software - Application, 860
APPF, Technology, Software - Application, 861
APPH, Consumer Defensive, Farm Products, 862
APPN, Technology, Software - Infrastructure, 863
APPS, Technology, Software - Application, 864
APR, Healthcare, Medical Instruments & Supplies, 866
APRE, Healthcare, Biotechnology, 867
APRN, Consumer Cyclical, Internet Retail, 868
APSG, Financial Services, Shell Companies, 869
APT, Industrials, Building Products & Equipment, 870
APTL, Industrials, Conglomerates, 872
APTO, Healthcare, Biotechnology, 873
APTS, Real Estate, REIT - Residential, 874
APTV, Consumer Cyclical, Auto Parts, 875
APTX, Healthcare, Biotechnology, 876
APVO, Healthcare, Biotechnology, 877
APWC, Industrials, Electrical Equipment & Parts, 878
APXT, Financial Services, Shell Companies, 879
APYX, Healthcare, Medical Devices, 880
AQB, Consumer Defensive, Farm Products, 881
AQMS, Industrials, Waste Management, 882
AQN, Utilities, Utilities - Renewable, 883
AQSP, Consumer Defensive, Household & Personal Products, 885
AQST, Healthcare, Drug Manufacturers - Specialty & Generic, 886
AQUA, Industrials, Pollution & Treatment Controls, 887
AR, Energy, Oil & Gas E&P, 889
ARAV, Healthcare, Biotechnology, 890
ARAY, Healthcare, Medical Devices, 891
ARBG, Financial Services, Shell Companies, 894
ARBV, Financial Services, Banks - Regional, 895
ARC, Industrials, Specialty Business Services, 896
ARCB, Industrials, Trucking, 898
ARCC, Financial Services, Asset Management, 899
ARCE, Consumer Defensive, Education & Training Services, 900
ARCH, Energy, Thermal Coal, 901
ARCO, Consumer Cyclical, Restaurants, 902
ARCT, Healthcare, Biotechnology, 903
ARD, Consumer Cyclical, Packaging & Containers, 904
ARDS, Healthcare, Biotechnology, 905
ARDX, Healthcare, Biotechnology, 906
ARE, Real Estate, REIT - Office, 907
ARE.L, Real Estate, REIT - Office, 908
AREC, Basic Materials, Coking Coal, 909
ARES, Financial Services, Asset Management, 910
ARGO, Financial Services, Insurance - Property & Casualty, 912
ARGX, Healthcare, Biotechnology, 913
ARGX, Healthcare, Biotechnology, 914
ARHN, Consumer Cyclical, Resorts & Casinos, 915
ARI, Real Estate, REIT - Mortgage, 916
ARKAY, Basic Materials, Specialty Chemicals, 918
ARKO, Consumer Defensive, Grocery Stores, 919
ARKR, Consumer Cyclical, Restaurants, 920
ARL, Real Estate, Real Estate - Development, 921
ARL.DE, Real Estate, Real Estate - Development, 922
ARLO, Industrials, Security & Protection Services, 923
ARLP, Energy, Thermal Coal, 924
ARMK, Consumer Cyclical, Restaurants, 925
ARMP, Healthcare, Biotechnology, 926
ARNA, Healthcare, Biotechnology, 927
ARNC, Industrials, Specialty Industrial Machinery, 928
AROC, Energy, Oil & Gas Equipment & Services, 930
AROW, Financial Services, Banks - Regional, 932
ARPO, Healthcare, Biotechnology, 933
ARQT, Healthcare, Biotechnology, 934
ARR.L, Real Estate, REIT - Mortgage, 935
ARR, Real Estate, REIT - Mortgage, 936
ARRW, Financial Services, Shell Companies, 937
ARRY, Technology, Solar, 938
ARTL, Healthcare, Biotechnology, 940
ARTNA, Utilities, Utilities - Regulated Water, 941
ARTNB, Utilities, Utilities - Regulated Water, 942
ARTW, Industrials, Farm & Heavy Construction Machinery, 943
ARVL, Consumer Cyclical, Auto Manufacturers, 944
ARVN, Healthcare, Biotechnology, 945
ARW.L, Technology, Electronics & Computer Distribution, 946
ARW, Technology, Electronics & Computer Distribution, 947
ARWR, Healthcare, Biotechnology, 948
ARXRF, Basic Materials, Other Industrial Metals & Mining, 949
ARYA, Financial Services, Shell Companies, 950
ARYD, Financial Services, Shell Companies, 951
ARZGY, Financial Services, Insurance - Diversified, 952
ASAI.L, Consumer Defensive, Household & Personal Products, 953
ASAN, Technology, Software - Application, 954
ASAQ, Financial Services, Shell Companies, 955
ASAX, Financial Services, Shell Companies, 956
ASAZY, Industrials, Security & Protection Services, 957
ASB, Financial Services, Banks - Regional, 958
ASBFY, Consumer Defensive, Packaged Foods, 959
ASC, Industrials, Marine Shipping, 960
ASC.L, Industrials, Marine Shipping, 961
ASCCY, Consumer Cyclical, Footwear & Accessories, 962
ASEKY, Consumer Cyclical, Auto Parts, 966
ASGLY, Basic Materials, Specialty Chemicals, 968
ASGN, Industrials, Staffing & Employment Services, 969
ASH, Basic Materials, Specialty Chemicals, 970
ASHTY, Industrials, Rental & Leasing Services, 972
ASIX, Basic Materials, Chemicals, 975
ASLE, Industrials, Airports & Air Services, 978
ASLN, Healthcare, Biotechnology, 980
ASM.AS, Basic Materials, Other Precious Metals & Mining, 981
ASMB, Healthcare, Biotechnology, 982
ASML, Technology, Semiconductor Equipment & Materials, 983
ASML.AS, Technology, Semiconductor Equipment & Materials, 984
ASMVY, Technology, Semiconductor Equipment & Materials, 985
ASND, Healthcare, Biotechnology, 986
ASO, Consumer Cyclical, Specialty Retail, 987
ASOMY, Consumer Cyclical, Internet Retail, 988
ASOZY, Technology, Software - Application, 989
ASPC, Financial Services, Shell Companies, 990
ASPL, Financial Services, Shell Companies, 992
ASPL.L, Financial Services, Shell Companies, 993
ASPN, Industrials, Building Products & Equipment, 994
ASPS, Financial Services, Mortgage Finance, 995
ASPU, Consumer Defensive, Education & Training Services, 996
ASR, Industrials, Airports & Air Services, 997
ASRT, Healthcare, Drug Manufacturers - Specialty & Generic, 999
ASRV, Financial Services, Banks - Regional, 1000
ASTC, Industrials, Aerospace & Defense, 1002
ASTE, Industrials, Farm & Heavy Construction Machinery, 1003
ASTO.L, Industrials, Business Equipment & Supplies, 1004
ASTS, Communication Services, Telecom Services, 1005
ASUR, Technology, Software - Application, 1006
ASX, Technology, Semiconductors, 1007
ASXC, Healthcare, Medical Devices, 1008
ASXFY, Financial Services, Financial Data & Stock Exchanges, 1009
ASYS, Technology, Semiconductor Equipment & Materials, 1011
ASZ, Financial Services, Shell Companies, 1012
ATA.PA, Financial Services, Shell Companies, 1015
ATAQ, Financial Services, Shell Companies, 1017
ATASY, Industrials, Infrastructure Operations, 1018
ATC, Technology, Electronic Components, 1019
ATCN, Industrials, Aerospace & Defense, 1020
ATCO, Financial Services, Asset Management, 1021
ATCX, Industrials, Engineering & Construction, 1022
ATDRY, Communication Services, Internet Content & Information, 1023
ATEC, Healthcare, Medical Devices, 1026
ATEN, Technology, Software - Infrastructure, 1027
ATER, Technology, Consumer Electronics, 1028
ATEX, Communication Services, Telecom Services, 1029
ATEYY, Technology, Semiconductor Equipment & Materials, 1030
ATGE, Consumer Defensive, Education & Training Services, 1032
ATGN, Technology, Communication Equipment, 1033
ATH, Financial Services, Insurance - Diversified, 1034
ATHA, Healthcare, Biotechnology, 1035
ATHE, Healthcare, Biotechnology, 1036
ATHM, Communication Services, Internet Content & Information, 1037
